# t id px py vx vy masa radio Ek

0.0 1 100 100 50 20 2 10 2900
0.1 1 105 102 50 20 2 10 2900
0.2 1 110 104 50 20 2 10 2900
0.3 1 115 106 50 20 2 10 2900
0.4 1 120 108 50 20 2 10 2900

0.0 2 300 200 -40 30 3 12 3750
0.1 2 296 203 -40 30 3 12 3750
0.2 2 292 206 -40 30 3 12 3750
0.3 2 288 209 -40 30 3 12 3750
0.4 2 284 212 -40 30 3 12 3750

0.0 3 200 400 25 -35 1.5 9 1537
0.1 3 202 396 25 -35 1.5 9 1537
0.2 3 204 392 25 -35 1.5 9 1537
0.3 3 206 388 25 -35 1.5 9 1537
0.4 3 208 384 25 -35 1.5 9 1537

0.0 4 500 300 -20 -25 2.5 11 1412
0.1 4 498 297 -20 -25 2.5 11 1412
0.2 4 496 294 -20 -25 2.5 11 1412
0.3 4 494 291 -20 -25 2.5 11 1412
0.4 4 492 288 -20 -25 2.5 11 1412
